,Gold,PPLT,SLV
0,97.878336,135.449997,27.07
1,98.729281,137.820007,26.940001
2,104.714928,141.529999,28.83
3,104.569878,140.539993,28.389999
4,104.695584,139.830002,28.51
5,103.583556,138.559998,27.91
6,104.067049,141.160004,28.129999
7,107.306451,144.619995,29.049999
8,105.295118,147.570007,29.139999
9,107.200082,147.979996,29.309999
10,105.237101,147.199997,28.82
11,106.020358,150.320007,29.190001
12,107.857633,150.539993,29.65
13,106.223424,150.309998,29.74
14,105.527193,151.690002,31.219999
15,106.474842,154.479996,31.389999
16,103.757614,152.880005,31.08
17,107.161401,156.410004,32.369999
18,108.244429,159.020004,32.43
19,110.468492,160.149994,32.959999
20,109.675564,159.100006,32.529999
21,110.632886,156.860001,32.279999
22,111.048682,159.740005,32.77
23,113.108368,160.779999,33.360001
24,112.334776,160.009995,32.689999
25,114.114034,160.600006,32.68
26,110.816608,163.050003,33.259998
27,110.777928,164.5,33.040001
28,110.671558,163.449997,32.900002
29,108.853627,163.800003,32.509998
30,109.192071,162.929993,32.75
31,108.563528,160.990005,32.540001
32,107.683575,161.339996,32.450001
33,107.702911,160.369995,32.57
34,107.383812,161.119995,32.279999
35,109.327448,166.539993,33.380001
36,110.951985,170.300003,33.439999
37,113.021335,170.320007,34.400002
38,111.909307,169.059998,34.369999
39,111.068026,168.490005,34.360001
40,113.533844,169.740005,35.830002
41,110.942321,165.619995,33.549999
42,112.151053,167.919998,34.439999
43,110.255754,167.419998,33.759998
44,107.499845,163.660004,33.029999
45,104.898658,159.339996,32.009998
46,105.691586,160.940002,32.41
47,107.973674,163.559998,32.849998
48,108.698913,166.300003,33.220001
49,107.702911,167.179993,32.630001
50,106.968007,166.520004,32.259998
51,103.148408,164.830002,31.27
52,100.576228,165.899994,31.530001
53,98.139419,164.979996,31.59
54,98.603576,165.779999,31.98
55,98.971028,163.149994,31.15
56,99.986366,161.679993,31.209999
57,87.608941,159.740005,30.540001
58,88.305172,160.440002,31.24
59,88.595271,162.630005,31.940001
60,86.313183,163.149994,31.59
61,84.089112,161.350006,31.15
62,84.940057,160.570007,31.35
63,85.075442,161.720001,31.379999
64,83.479913,162.970001,32.049999
65,80.84971,162.039993,31.65
66,78.625639,157.75,30.33
67,78.751352,158.179993,30.719999
68,85.965068,159.039993,30.59
69,84.84336,157.5,30.790001
70,82.474247,156.089996,30.65
71,87.13512,158.070007,31.42
72,86.100445,156.139999,30.549999
73,83.924726,155.339996,30.559999
74,84.214818,156.139999,30.799999
75,84.321187,155.339996,30.639999
76,84.388875,155.679993,30.799999
77,84.253498,155.820007,30.75
78,81.739336,153.729996,29.969999
79,82.058443,152.360001,29.93
80,85.297845,153.259995,29.860001
81,88.005409,154.619995,30.18
82,88.382533,155.059998,30.370001
83,86.206814,154.550003,30.110001
84,84.466236,154.979996,30.059999
85,83.470242,154.100006,29.780001
86,79.186493,151.029999,29.290001
87,78.92541,150.639999,29.41
88,78.248515,150.699997,29.209999
89,75.047793,149.059998,28.65
90,75.134819,147.679993,28.379999
91,75.494451,146.589996,28.25
92,74.571064,144.429993,28.08
93,72.588204,141.839996,27.42
94,71.081617,141.25,26.860001
95,71.956409,140.960007,26.370001
96,74.405828,143.100006,27.24
97,74.308623,143.419998,27.790001
98,77.399551,144.979996,27.68
99,75.475015,142.589996,27.34
100,77.46759,140.5,27.049999
101,78.488182,139.880005,27.440001
102,78.692299,141.070007,27.620001
103,78.536784,140.699997,27.1
104,78.157709,138.220001,27.120001
105,77.127395,139.539993,26.959999
106,84.815838,142.169998,27.620001
107,85.661465,141.160004,27.459999
108,86.14746,141.839996,27.719999
109,88.95651,144.270004,28.51
110,84.670038,142.119995,27.790001
111,85.136589,141.330002,27.75
112,84.738077,142.490005,27.790001
113,87.265249,143.529999,28.120001
114,88.003964,144.289993,28.01
115,89.413346,147.419998,27.82
116,90.103458,146.389999,27.809999
117,91.765567,146.309998,27.870001
118,91.785004,145.919998,27.639999
119,91.629482,143.440002,27.26
120,86.419623,141.679993,26.120001
121,86.934776,141.419998,26.15
122,87.615166,141.880005,26.709999
123,87.372169,140.589996,26.299999
124,86.769532,138.880005,26.129999
125,84.708919,136.789993,25.629999
126,87.48881,142.660004,26.65
127,88.285842,143.339996,26.73
128,91.075448,146.460007,27.49
129,89.996539,145.139999,26.879999
130,88.655195,142.089996,26.299999
131,88.315,142.199997,26.540001
132,87.372169,140.199997,26.059999
133,87.372169,140.419998,26.25
134,87.15833,139.539993,26.35
135,87.877608,140.699997,26.440001
136,87.780403,139.679993,26.49
137,86.536257,139.360001,26.469999
138,85.573989,138.869995,26.42
139,85.36015,139.779999,26.42
140,83.775809,139.380005,26.48
141,81.608269,137.929993,26.209999
142,81.384715,136.5,26.219999
143,85.233794,137.779999,26.530001
144,86.740374,138.410004,26.709999
145,88.791273,139.020004,26.959999
146,89.325871,139.5,27.360001
147,86.973657,139.460007,27.120001
148,86.351576,137.740005,26.540001
149,86.798698,136.369995,26.309999
150,88.091439,138.070007,26.959999
151,90.424216,138.210007,27.110001
152,92.630638,138.910004,27.27
153,92.066882,138.839996,27.209999
154,95.527163,139.199997,27.290001
155,96.625517,137.979996,27.26
156,95.148088,136.559998,26.92
157,94.088622,137.440002,26.959999
158,93.981703,137.309998,26.969999
159,95.293888,142.139999,27.370001
160,94.769012,145.279999,27.23
161,94.642656,146.979996,27.950001
162,94.798171,148.300003,28.370001
163,96.052039,151.360001,28.92
164,97.71414,151.600006,29.6
165,97.889099,152.419998,29.74
166,97.024029,151.779999,29.74
167,96.207561,149.300003,29.93
168,95.186968,149.199997,29.75
169,95.216127,148.509995,29.440001
170,100.085798,151.520004,30.790001
171,98.812494,154.339996,31.360001
172,99.522042,154.580002,31.27
173,105.655296,155.949997,31.67
174,108.347712,156.809998,32.639999
175,107.32712,156.559998,32.290001
176,107.142447,157.889999,32.41
177,107.492356,162.339996,32.209999
178,111.14704,165.660004,33.610001
179,116.969257,167.990005,33.599998
180,118.009294,163.699997,32.990002
181,117.396935,159.820007,33.709999
182,118.125928,161.179993,33.57
183,116.716545,159.910004,33.580002
184,120.390666,160.830002,33.48
185,117.367777,159.639999,32.93
186,114.869763,160.119995,32.68
187,115.977831,160.679993,32.869999
188,119.68111,162.330002,33.580002
189,119.554754,163.380005,33.48
190,123.326072,165.289993,33.650002
191,120.69198,165.070007,33.5
192,119.068759,166.160004,33.509998
193,121.868087,169.220001,33.93
194,121.216856,167.589996,33.450001
195,120.896097,166.539993,32.970001
196,118.631367,166.020004,32.830002
197,118.271728,164.5,32.950001
198,118.85492,165.199997,32.900002
199,117.824613,162.509995,32.450001
200,118.602201,161.149994,31.66
201,120.361507,161.759995,31.93
202,121.479297,163.779999,32.119999
203,116.551309,161.199997,31.73
204,117.173382,159.190002,31.1
205,119.185401,158.080002,31.389999
206,114.315729,154.490005,30.68
207,113.81029,153.020004,30.709999
208,116.04587,154.179993,31.120001
209,114.675368,152.080002,31.08
210,116.240265,154.449997,31.27
211,116.172226,154.330002,31.219999
212,113.392342,151.899994,29.950001
213,113.985249,151.809998,30.17
214,118.057889,152.759995,31.01
215,111.185921,151.509995,30.83
216,111.778835,152.059998,31.379999
217,109.193338,153.169998,31.540001
218,106.228774,153.889999,31.370001
219,105.149864,155.699997,31.4
220,98.11266,156.020004,31.639999
221,99.074928,154.330002,31.530001
222,98.919406,153.059998,31.209999
223,103.740482,155.25,32.049999
224,102.46717,154.690002,32.110001
225,101.679861,155.259995,32.290001
226,104.381992,159.630005,32.98
227,102.943451,158.679993,33.02
228,101.018907,158.490005,32.93
229,102.787929,157.839996,32.619999
230,103.604397,158.300003,33.130001
231,104.352833,157.440002,32.360001
232,102.476892,157.990005,32.52
233,101.436863,155.990005,31.9
234,99.871959,155.600006,31.82
235,99.395686,157.179993,31.93
236,99.463725,158.039993,32.029999
237,99.76504,159.520004,32.139999
238,98.559774,160.729996,31.91
239,100.241313,160.610001,32.369999
240,97.043465,158.699997,31.530001
241,96.858792,159.0,31.17
242,97.276748,158.020004,31.200001
243,96.887951,156.710007,30.65
244,95.87708,156.279999,30.110001
245,95.73128,152.399994,29.0
246,96.674112,151.339996,29.0
247,96.314473,150.860001,28.940001
248,95.507727,151.080002,29.01
249,94.992573,150.789993,29.24
250,93.622064,149.529999,29.1
251,96.431114,151.360001,29.370001
252,97.908543,153.699997,29.92
253,95.060612,153.639999,29.18
254,93.145791,153.5,29.24
255,91.464245,152.860001,29.18
256,90.560294,155.350006,29.379999
257,91.454523,157.259995,29.35
258,93.865061,159.860001,29.780001
259,92.513996,160.179993,29.48
260,91.299009,162.990005,30.040001
261,91.512848,165.479996,30.360001
262,90.900489,165.639999,30.450001
263,90.268702,166.360001,30.67
264,89.685502,163.639999,30.809999
265,94.603776,166.539993,31.120001
266,93.563747,165.830002,31.190001
267,93.417947,165.259995,30.65
268,92.115477,166.550003,30.209999
269,91.308731,163.380005,29.85
270,92.825033,164.820007,30.32
271,92.232118,165.470001,30.92
272,91.52257,164.899994,30.440001
273,92.970833,165.679993,30.780001
274,95.634083,166.619995,30.690001
275,93.9331,167.860001,30.76
276,94.234415,170.580002,30.809999
277,92.49456,168.880005,30.459999
278,91.571165,168.529999,30.43
279,89.082873,165.889999,30.0
280,88.315,168.679993,30.09
281,88.149764,169.039993,29.77
282,86.963935,167.960007,29.459999
283,83.484209,164.619995,28.83
284,83.396734,166.059998,28.450001
285,79.897564,161.619995,27.59
286,79.848969,158.399994,27.73
287,79.576813,157.929993,27.83
288,80.325242,157.440002,28.07
289,83.153736,159.169998,28.41
290,82.035947,157.100006,28.01
291,80.548803,155.509995,27.540001
292,79.139413,154.5,27.620001
293,78.322946,154.020004,27.6
294,79.197738,155.899994,27.75
295,82.055383,155.699997,28.1
296,79.994769,156.309998,27.91
297,78.672862,157.339996,28.01
298,78.91586,157.279999,28.02
299,80.354401,156.660004,28.200001
300,79.508774,156.020004,27.940001
301,80.811237,156.070007,27.799999
302,80.062808,156.160004,27.799999
303,80.655723,155.0,27.950001
304,80.723762,153.059998,27.93
305,80.733476,154.779999,27.809999
306,83.144014,155.059998,28.18
307,83.318973,155.339996,27.75
308,81.919305,155.520004,27.84
309,82.201183,154.399994,27.75
310,83.911887,155.360001,27.73
311,83.571692,154.229996,27.42
312,82.667741,156.449997,27.09
313,80.616842,154.339996,26.35
314,77.380114,151.199997,26.09
315,78.070226,149.309998,25.99
316,78.818655,150.550003,26.389999
317,78.254907,150.479996,26.32
318,80.684881,152.080002,27.030001
319,79.110255,149.800003,26.68
320,76.894119,150.460007,26.700001
321,73.161674,146.160004,25.280001
322,67.106182,137.619995,22.09
323,68.360049,142.130005,22.67
324,65.016402,139.679993,22.440001
325,68.301725,140.0,22.4
326,69.555593,139.979996,22.4
327,72.89924,140.679993,22.620001
328,72.082772,138.770004,22.18
329,77.94387,140.380005,22.42
330,79.013057,143.740005,23.49
331,77.710587,144.839996,23.1
332,79.149135,148.080002,23.540001
333,79.48933,147.490005,23.459999
334,77.166275,144.860001,22.860001
335,76.690002,146.990005,23.02
336,76.437283,147.020004,23.290001
337,76.583083,147.679993,23.18
338,75.951288,145.25,23.1
339,78.768646,147.320007,23.120001
340,78.504522,147.580002,22.889999
341,76.909978,146.100006,22.98
342,74.943694,145.039993,22.83
343,73.045888,147.399994,22.57
344,70.433963,145.800003,21.76
345,72.507855,145.520004,21.950001
346,69.915492,142.660004,21.4
347,72.81111,146.399994,22.280001
348,72.674156,143.380005,21.620001
349,72.967626,143.770004,21.51
350,74.532831,143.449997,21.879999
351,72.370901,142.479996,21.610001
352,71.382866,143.119995,21.530001
353,74.170876,142.779999,21.709999
354,77.584965,145.559998,21.98
355,76.675192,142.5,21.440001
356,78.524083,146.940002,21.98
357,76.665415,146.479996,21.77
358,76.098029,148.419998,21.780001
359,77.359971,149.960007,21.93
360,75.618689,146.940002,20.860001
361,75.892597,147.5,21.16
362,73.799144,145.070007,20.91
363,73.750228,144.979996,21.02
364,73.848052,142.550003,21.040001
365,73.701313,141.690002,21.33
366,73.16328,140.509995,21.1
367,71.030696,141.369995,20.879999
368,68.702465,139.009995,20.6
369,64.241642,133.160004,18.969999
370,65.259023,134.770004,19.389999
371,61.629718,130.830002,18.969999
372,62.34384,132.220001,18.91
373,59.164529,127.540001,17.889999
374,60.690599,128.800003,17.889999
375,62.607967,131.080002,18.969999
376,62.735137,134.539993,18.93
377,61.336244,133.789993,18.68
378,63.057961,131.410004,19.02
379,60.53408,130.119995,18.209999
380,59.800392,133.389999,18.42
381,60.631903,133.660004,18.57
382,59.379745,133.690002,18.48
383,66.403573,138.029999,19.49
384,64.809029,137.960007,19.209999
385,63.234046,139.380005,19.280001
386,67.508999,139.440002,19.33
387,65.904671,137.720001,18.66
388,65.689455,138.520004,18.719999
389,68.800288,139.559998,18.879999
390,72.028507,141.270004,19.77
391,72.68394,141.740005,19.77
392,70.169839,141.539993,19.469999
393,70.160055,141.460007,19.5
394,71.715468,139.759995,19.32
395,71.774168,140.970001,19.139999
396,71.314389,140.600006,19.030001
397,72.654586,140.490005,19.139999
398,71.069827,140.779999,18.969999
399,69.044851,141.550003,19.120001
400,69.719838,142.009995,19.01
401,65.288369,139.679993,18.83
402,64.769898,140.520004,18.83
403,68.87855,145.25,19.6
404,71.558952,146.649994,19.76
405,73.036111,146.389999,20.620001
406,72.948064,146.610001,20.709999
407,75.246949,147.259995,21.09
408,77.565403,149.009995,22.15
409,78.504522,149.320007,22.34
410,76.48933,147.429993,22.34
411,78.631691,148.559998,22.190001
412,75.775205,148.660004,22.139999
413,76.919755,150.639999,22.27
414,79.189293,150.360001,23.15
415,79.336032,151.369995,23.459999
416,77.066494,149.270004,23.59
417,76.381722,150.229996,23.43
418,77.604534,148.75,23.0
419,76.323022,148.619995,22.6
420,77.340402,150.300003,23.389999
421,78.289306,146.440002,22.690001
422,76.17629,145.220001,22.379999
423,76.205637,146.130005,22.969999
424,74.738263,145.0,22.84
425,71.83286,143.960007,22.129999
426,71.930684,144.149994,22.290001
427,68.399203,140.759995,21.059999
428,69.983969,141.820007,21.42
429,70.208963,140.270004,20.940001
430,71.999161,139.059998,20.959999
431,77.46758,143.660004,22.309999
432,75.188256,142.949997,22.200001
433,71.783945,139.839996,21.0
434,70.883957,139.0,20.780001
435,69.983969,139.559998,20.889999
436,71.060042,139.559998,20.98
437,70.541571,137.990005,20.92
438,70.169839,138.869995,20.959999
439,69.974185,137.320007,20.9
440,68.947027,135.619995,20.41
441,68.545941,135.990005,20.92
442,67.606823,134.339996,20.92
443,68.203556,135.800003,20.93
444,69.67093,137.149994,21.530001
445,67.939424,137.110001,21.49
446,67.597038,135.059998,21.049999
447,67.381822,135.529999,20.83
448,66.726397,134.080002,20.52
449,68.448118,134.699997,20.5
450,70.492656,135.350006,20.559999
451,67.958993,136.559998,20.5
452,70.50244,140.550003,21.049999
453,70.169839,140.529999,21.110001
454,71.118735,140.5,21.41
455,73.916529,141.720001,21.870001
456,71.421997,140.380005,21.75
457,73.994791,141.910004,21.870001
458,75.061087,142.199997,21.709999
459,76.479545,143.699997,21.68
460,74.356746,142.789993,21.690001
461,75.41325,144.029999,21.879999
462,72.292639,141.639999,21.1
463,69.925277,142.110001,21.08
464,72.048076,141.960007,20.85
465,71.920899,141.740005,20.9
466,72.644809,143.020004,21.0
467,75.559989,142.210007,20.83
468,75.012171,140.990005,20.690001
469,74.151314,139.899994,20.6
470,71.490475,139.960007,20.0
471,70.326355,140.190002,19.780001
472,71.901338,141.350006,20.049999
473,71.686121,140.660004,20.0
474,71.285043,137.860001,19.67
475,72.615463,138.570007,19.610001
476,69.905708,136.169998,19.139999
477,69.123113,136.130005,19.24
478,68.497026,135.229996,19.129999
479,67.704646,135.25,19.27
480,66.569881,134.259995,19.129999
481,67.479653,132.139999,18.959999
482,69.211151,133.479996,19.24
483,65.826409,131.020004,18.459999
484,64.16338,132.729996,18.42
485,65.904671,134.050003,19.0
486,64.222081,133.139999,18.690001
487,64.016649,132.820007,18.76
488,64.231865,134.399994,19.120001
489,66.481834,135.869995,19.66
490,63.879695,135.259995,19.549999
491,62.422101,132.949997,18.809999
492,62.686229,132.940002,18.950001
493,62.950353,132.940002,19.219999
494,62.490578,131.830002,19.139999
495,61.972104,130.779999,19.09
496,61.502544,128.809998,18.49
497,59.86887,130.240005,18.620001
498,60.426471,129.759995,18.719999
499,61.385156,130.320007,18.76
500,61.199289,132.449997,19.02
501,61.590587,134.479996,19.27
502,60.279733,132.820007,18.85
503,61.443852,133.889999,18.709999
504,63.820995,137.020004,19.23
505,62.0308,137.910004,19.42
506,60.54386,138.520004,19.42
507,60.788423,137.979996,19.129999
508,59.917781,138.289993,18.83
509,58.000413,138.360001,18.84
510,60.230821,140.240005,19.379999
511,62.314493,140.779999,19.68
512,61.473198,139.380005,19.42
513,60.925377,139.380005,19.4
514,62.578621,139.449997,19.35
515,63.899256,141.679993,19.51
516,66.520965,141.75,19.17
517,66.061187,142.050003,19.030001
518,67.900301,142.130005,19.26
519,68.585072,139.229996,19.16
520,66.315534,137.639999,18.889999
521,66.550312,137.690002,18.85
522,69.00572,137.929993,19.02
523,66.863351,134.770004,18.49
524,67.401391,134.270004,18.450001
525,70.091577,135.080002,18.610001
526,69.426368,134.149994,18.75
527,70.042662,134.820007,19.07
528,69.201367,134.429993,19.17
529,71.421997,135.020004,19.27
530,72.908933,135.320007,19.290001
531,75.403473,135.339996,19.450001
532,74.14153,137.330002,19.43
533,76.606715,138.149994,19.74
534,77.917573,139.5,20.65
535,78.621914,138.830002,21.129999
536,77.487141,138.160004,20.629999
537,79.003431,138.449997,21.0
538,79.15017,139.5,20.969999
539,79.365378,140.309998,21.18
540,78.661045,140.580002,21.02
541,78.700169,139.5,20.42
542,78.240398,141.649994,20.459999
543,77.320841,141.009995,20.35
544,80.627321,142.240005,20.620001
545,79.482771,142.779999,20.370001
546,82.466435,144.160004,20.360001
547,82.857729,144.649994,20.66
548,80.069719,144.509995,20.08
549,79.482771,144.020004,20.01
550,79.697987,142.720001,20.040001
551,81.115367,143.899994,20.469999
552,81.056305,144.029999,20.360001
553,82.34573,143.240005,20.620001
554,80.603532,142.789993,20.33
555,79.491287,142.380005,20.01
556,77.443961,141.139999,19.790001
557,78.231396,139.630005,19.52
558,78.497152,139.960007,19.52
559,74.963553,139.050003,19.209999
560,76.361243,138.669998,19.219999
561,74.28439,137.169998,19.02
562,74.117063,136.520004,19.0
563,74.540308,137.220001,19.059999
564,73.821773,138.119995,19.040001
565,74.018628,139.050003,19.059999
566,75.308053,140.169998,19.190001
567,75.189936,140.699997,19.059999
568,75.534436,141.300003,19.16
569,75.928153,139.309998,19.129999
570,78.930242,140.330002,19.23
